項目分類,項目ID,評価項目名,説明文,記入例_サーバ001,記入例_サーバ002,記入例_サーバ003
基本情報,DNS_ID,DNSサーバ一意識別子,各DNSサーバを識別するための固有ID,DNS001,DNS002,DNS003
基本情報,サーバ名,DNSサーバホスト名,DNSサーバのホスト名またはFQDN,ns1.example.com,dns-primary.corp.local,aws-dns01.cloud.example.net
基本情報,ドメイン名,管理対象ドメイン,このサーバが管理している主要ドメイン,example.com,corp.local,cloud.example.net
基本情報,IPアドレス,DNSサーバIPアドレス,DNSサーバのプライマリIPアドレス,203.0.113.10,192.168.10.10,10.0.1.100
A_ドメイン・ゾーン管理,A1-1,全ドメインリスト作成,管理しているすべてのドメインの一覧化状況。棚卸し作業の実施状況を確認。,完了_50ドメイン,部分実施_主要20ドメインのみ,AWS_自動管理
A_ドメイン・ゾーン管理,A1-2,サブドメイン階層構造把握,サブドメインの親子関係と階層レベルの整理状況。www.example.comやapi.example.comなどの構造整理。,3階層まで整理完了,2階層まで把握,Route53_自動階層管理
A_ドメイン・ゾーン管理,A1-3,利用状況判定,各ドメインがアクティブ・休眠・廃止予定かの判定。実際にアクセスがあるかの確認状況。,アクティブ40_休眠10,アクティブ18_休眠2,利用分析ツール導入
A_ドメイン・ゾーン管理,A1-4,用途別分類,本番環境・開発環境・テスト環境等の分類状況。システム用途による区分管理。,本番35_開発10_テスト5,本番15_開発3_テスト2,本番環境_クラウド集約
A_ドメイン・ゾーン管理,A1-5,所属部門責任者,各ドメインの管理部門と責任者の特定状況。組織図との関連付け。,情報システム部_田中主任,総務部_佐藤課長,クラウド事業部_山田部長
A_ドメイン・ゾーン管理,A1-6,重要度影響度評価,ビジネス影響度に基づく重要度評価の実施状況。停止時の業務影響度分析。,高15_中20_低15,高10_中8_低2,高重要度_定量評価済み
A_ドメイン・ゾーン管理,A1-7,業務機能関連付け,ドメインと業務システム・機能の関連付け状況。どのシステムがどのドメインを使用しているか。,ECサイト20_社内システム15_その他15,会計5_人事3_その他12,顧客管理システム_自動関連付け
A_ドメイン・ゾーン管理,A1-8,外部公開内部専用区分,インターネット公開・内部専用の分類状況。セキュリティ観点での区分管理。,外部公開25_内部専用25,外部公開5_内部専用15,ゾーン分離_自動分類
A_ドメイン・ゾーン管理,A2-1,更新期限管理状況,ドメイン更新期限の管理方法と体制。期限切れ防止のための管理仕組み。,Excelで一元管理_3ヶ月前通知,手動管理_期限表あり,自動更新設定_通知機能
A_ドメイン・ゾーン管理,A2-2,自動更新設定有無,ドメイン更新の自動化設定状況。手動更新か自動更新かの確認。,手動更新_要注意,自動更新設定済み,自動更新_クレカ決済
A_ドメイン・ゾーン管理,A2-3,期限切れ対策通知体制,更新忘れ防止のアラート・通知仕組み。複数担当者への通知体制。,メール+Slack通知_複数担当者,メール通知のみ_単一担当者,AWS_CloudWatch通知
A_ドメイン・ゾーン管理,A2-4,レジストラ別契約状況,ドメイン登録業者ごとの契約・管理状況。複数レジストラ利用時の管理方法。,ValueDomain35_お名前15,ムームードメイン20,Route53_AWS一元管理
A_ドメイン・ゾーン管理,A2-5,更新権限者特定,ドメイン更新権限を持つ担当者の特定状況。権限者の明確化と代行体制。,主担当_田中_副担当_鈴木,佐藤課長のみ,山田部長_IAM権限管理
A_ドメイン・ゾーン管理,A2-6,更新忘れリスク評価,更新忘れによる影響とリスクレベル評価。ビジネス継続性への影響度。,中リスク_ECサイト停止影響,低リスク_内部システムのみ,高リスク_顧客向けサービス
A_ドメイン・ゾーン管理,A3-1,権威DNSサーバ情報,権威DNSサーバの詳細情報と設定状況。プライマリサーバとセカンダリサーバの情報。,ns1.example.com_ns2.example.com,dns1.corp.local_冗長化済み,Route53_4サーバ自動分散
A_ドメイン・ゾーン管理,A3-2,プライマリセカンダリ構成,マスターサーバとスレーブサーバの構成状況。データ同期の仕組み。,プライマリ1台_セカンダリ1台,マスター・スレーブ構成済み,Route53_自動冗長化
A_ドメイン・ゾーン管理,A3-3,地理的分散状況,DNSサーバの物理的な配置分散状況。災害対策としての地理的冗長性。,単一データセンター,本社・支社の2拠点,AWS_マルチAZ自動分散
A_ドメイン・ゾーン管理,A3-4,負荷分散設定,DNSクエリの負荷分散設定状況。複数サーバ間での負荷分散機能。,ラウンドロビンDNS設定,負荷分散なし_単一構成,Route53_Weight・Geolocation対応
