大分類,中分類,項目ID,評価項目名,説明文,example.com,test.example.com,dev.example.org
基本情報,基本情報,DNS_ID,DNS識別子,管理上のユニークID,DNS001,DNS002,DNS003
基本情報,基本情報,サーバ名,サーバ名称,DNSサーバの名前,example-dns01,test-dns01,aws-route53
基本情報,基本情報,IPアドレス,IPアドレス,DNSサーバのIPアドレス,192.168.1.10,192.168.2.10,AWS管理
A_ドメイン・ゾーン管理,A1_ドメイン棚卸・分類,A1-1,全ドメインリスト作成,管理しているすべてのドメインの一覧化状況。棚卸し作業の実施状況を確認。,完了_全50ドメイン管理,部分実施_テスト環境のみ,完了_AWS自動管理
A_ドメイン・ゾーン管理,A1_ドメイン棚卸・分類,A1-2,サブドメイン階層構造把握,サブドメインの階層関係の把握状況。www.example.com等の階層構造を整理。,階層化済み_3層構造,未実施,完了_サブドメイン自動
A_ドメイン・ゾーン管理,A1_ドメイン棚卸・分類,A1-3,利用状況判定,各ドメインがアクティブか休眠状態かの判定。アクセスログやレスポンス確認。,アクティブ,アクティブ,アクティブ
A_ドメイン・ゾーン管理,A1_ドメイン棚卸・分類,A1-4,用途別分類,本番環境・開発環境・テスト環境等の用途による分類。※ドメイン単位での評価（レコード単位ではない）。,本番環境,テスト環境,本番環境
A_ドメイン・ゾーン管理,A1_ドメイン棚卸・分類,A1-5,所属部門責任者,ドメインを管理する部門と責任者の特定。連絡先情報も含む。,情報システム部・田中,開発部・山田,クラウドチーム・鈴木
A_ドメイン・ゾーン管理,A1_ドメイン棚卸・分類,A1-6,重要度影響度評価,業務への影響度による重要度評価。高・中・低での分類。,高_業務クリティカル,中_開発用途,高_ミッションクリティカル
A_ドメイン・ゾーン管理,A1_ドメイン棚卸・分類,A1-7,業務機能関連付け,ドメインが支える業務機能やアプリケーションとの関連付け。,ECサイト,テスト・検証,基幹システム
A_ドメイン・ゾーン管理,A1_ドメイン棚卸・分類,A1-8,外部公開内部専用区分,インターネット公開か社内専用かの区分。セキュリティ要件に影響。,外部公開,内部専用,外部公開
A_ドメイン・ゾーン管理,A2_ドメイン有効期限管理,A2-1,更新期限管理状況,ドメインの有効期限管理方法。手動・自動・台帳管理等。,手動管理_Excel,手動管理,AWS Route53_自動
A_ドメイン・ゾーン管理,A2_ドメイン有効期限管理,A2-2,自動更新設定有無,ドメイン自動更新の設定状況。期限切れ防止対策。,無し,無し,有り_自動更新
A_ドメイン・ゾーン管理,A2_ドメイン有効期限管理,A2-3,期限切れ対策通知体制,有効期限前の通知体制。メール・システム通知等の仕組み。,メール通知のみ,無し,CloudWatch_自動通知
A_ドメイン・ゾーン管理,A2_ドメイン有効期限管理,A2-4,レジストラ別契約状況,ドメインレジストラ別の契約状況。どの業者でドメインを取得・管理しているかを記録（例：ValueDomain; お名前.com; AWS Route53; GoDaddy等）。,ValueDomain_2024年契約,同上,AWS_年契約
A_ドメイン・ゾーン管理,A2_ドメイン有効期限管理,A2-5,更新権限者特定,ドメイン更新権限を持つ担当者の特定。アカウント管理状況。,田中主任,山田,鈴木_AWSアカウント管理
A_ドメイン・ゾーン管理,A2_ドメイン有効期限管理,A2-6,更新忘れリスク評価,更新忘れによるサービス停止リスクの評価。高・中・低評価。,中リスク_担当者単一,低リスク,低リスク_AWS管理
A_ドメイン・ゾーン管理,A3_ネームサーバ構成,A3-1,権威DNSサーバ情報,権威DNSサーバの詳細情報。プライマリ・セカンダリサーバ構成。,ns1.example.com/ns2.example.com,同上,AWS Route53
A_ドメイン・ゾーン管理,A3_ネームサーバ構成,A3-2,プライマリセカンダリ構成,プライマリ・セカンダリDNSの冗長構成状況。,プライマリ・セカンダリ構成,セカンダリのみ,マルチAZ_冗長構成
A_ドメイン・ゾーン管理,A3_ネームサーバ構成,A3-3,地理的分散状況,DNSサーバの地理的分散配置状況。災害対策・性能向上。,単一サイト_東京DC,同上,グローバル_複数リージョン
A_ドメイン・ゾーン管理,A3_ネームサーバ構成,A3-4,ロードバランシング設定,DNSクエリの負荷分散設定・方式。どのような負荷分散ルールを設定しているか（例：Round-Robin; Weight; GeoDNS等）。※B3-3は実装状況を評価,ラウンドロビンDNS,無し,Weighted・Geolocation
A_ドメイン・ゾーン管理,A3_ネームサーバ構成,A3-5,フェールオーバー機能,プライマリDNS障害時の自動切替機能の構成・設計。フェールオーバー機能の有無。※B3-5は実際の切替時間・性能を評価,手動切替_5分,同上,自動フェイルオーバー
A_ドメイン・ゾーン管理,A3_ネームサーバ構成,A3-6,DNS事業者サービス種別,利用しているDNSサービス事業者とサービス種別。※A2-4はドメイン契約業者; A3-6はDNS運用業者（異なる場合有り）。,ValueDomain_有償プラン,同上,AWS Route53_マネージド
B_技術構成・性能,B1_DNSサーバソフトウェア,B1-1,利用ソフトウェア,使用しているDNSサーバソフトウェア。BIND・PowerDNS・Windows DNS等。,BIND,同上,AWS Route53
B_技術構成・性能,B1_DNSサーバソフトウェア,B1-2,バージョン情報サポート状況,DNSソフトウェアのバージョンとサポート状況。セキュリティリスク評価。,9.16.1_LTS,同上,最新版_AWS管理
B_技術構成・性能,B1_DNSサーバソフトウェア,B1-3,ライセンス状況,ソフトウェアライセンスの種類と遵守状況。商用・OSS等。,GPL,同上,AWS_マネージドサービス
B_技術構成・性能,B1_DNSサーバソフトウェア,B1-4,設定ファイル管理方式,DNS設定ファイルの管理方法。手動編集・自動化・バージョン管理等。,手動編集_vi,同上,AWS Console_API
B_技術構成・性能,B1_DNSサーバソフトウェア,B1-5,パッチ適用履歴,セキュリティパッチ・アップデートの適用履歴と頻度。,月次パッチ適用,同上,自動適用
B_技術構成・性能,B1_DNSサーバソフトウェア,B1-6,EOLサポート終了リスク,End of Life到達によるサポート終了リスクの評価。,低リスク_サポート継続,同上,無し_AWS管理
B_技術構成・性能,B2_レコード設定・管理,B2-1,各レコード種別,設定済みDNSレコードの種別。A・AAAA・MX・CNAME・TXT等。,A/AAAA/MX/CNAME/TXT,A/AAAA/CNAME,A/AAAA/MX/CNAME/TXT/ALIAS
B_技術構成・性能,B2_レコード設定・管理,B2-2,TTL設定値適切性,DNS TTL値の適切性。キャッシュ効率とリアルタイム性のバランス。,適切_300秒,デフォルト_3600秒,最適化済み
B_技術構成・性能,B2_レコード設定・管理,B2-3,設定内容整合性,DNSレコード設定の整合性チェック状況。矛盾・重複の有無（例：同じ名前で異なるIPのAレコード; CNAME重複; MX設定不備等）。,良好_整合性チェック済,未チェック,AWS管理
B_技術構成・性能,B2_レコード設定・管理,B2-4,逆引き設定状況,逆引きDNS（PTRレコード）の設定状況。メール送信等に必要。,設定済み_逆引き対応,未設定,設定済み
B_技術構成・性能,B2_レコード設定・管理,B2-5,ワイルドカード使用状況,ワイルドカードレコード（*.example.com）の使用状況と適切性。,未使用,未使用,必要に応じて使用
B_技術構成・性能,B2_レコード設定・管理,B2-6,CNAME制限チェック,CNAMEレコードの制限事項遵守状況。他レコードとの共存制限等。,適切_制限遵守,未チェック,適切_AWS管理
B_技術構成・性能,B2_レコード設定・管理,B2-7,不要レコード存在確認,使用されていない不要レコードの定期クリーニング状況。,月次クリーニング,未実施,定期自動クリーニング
B_技術構成・性能,B3_パフォーマンス・可用性,B3-1,DNS応答時間測定,DNSクエリに対する応答時間の測定結果。パフォーマンス指標。,50ms_良好,100ms_普通,10ms未満_最適
B_技術構成・性能,B3_パフォーマンス・可用性,B3-2,クエリ処理能力評価,単位時間あたりの処理可能クエリ数。負荷に対する処理能力。,高_毎分10万クエリ,低_テスト用途,高_1秒間数万クエリ
B_技術構成・性能,B3_パフォーマンス・可用性,B3-3,負荷分散状況,複数DNSサーバ間での負荷分散実装状況・実際の効果。負荷分散が正常に機能しているかの状況評価。※A3-4は設定・方式を評価,無し_単一サーバ,同上,自動負荷分散
B_技術構成・性能,B3_パフォーマンス・可用性,B3-4,冗長化レベル評価,DNSサーバの冗長化レベル評価。レベル1-4での分類。,レベル2_プライマリ・セカンダリ,レベル1,レベル4_完全冗長
B_技術構成・性能,B3_パフォーマンス・可用性,B3-5,障害時切り替え機能,障害時の自動切替機能の実際の切替時間・性能評価。RPO/RTO実績値。※A3-5は機能構成を評価,手動切替,同上,自動フェイルオーバー
